BillID,Value,Random,Year
PEK,100983290,2,2018
PVG,74006331,2,2018
CAN,69720403,2,2018
CTU,52950529,2,2018
SZX,49348950,2,2018
SHA,43628004,2,2018
KMG,47088140,2,2018
XIY,44653311,2,2018
CKG,41595887,2,2018
HGH,38241630,2,2018
XMN,26553438,2,2018
NKG,28581546,2,2018
WUH,24500356,2,2018
CSX,25266251,2,2018
URC,23027788,2,2018
TAO,24535738,2,2018
CGO,27334730,2,2018
SYX,20039035,2,2018
HAK,24123582,2,2018
TSN,23591412,2,2018
DLC,18758171,2,2018
HRB,20431432,2,2018
KWE,20094681,2,2018
SHE,19027398,2,2018
FOC,14393532,2,2018
NNG,15091614,2,2018
TNA,16611795,2,2018
TYN,13588423,2,2018
CGQ,12969503,2,2018
LHW,13858151,2,2018
KHN,13524159,2,2018
HET,12159175,2,2018
WNZ,11218701,2,2018
NGB,11718416,2,2018
HFE,11110596,2,2018
KWL,8732176,2,2018
SJW,11332518,2,2018
LJG,7529935,2,2018
INC,8944837,2,2018
NAY,6512740,2,2018
ZUH,11220703,2,2018
WUX,7207529,2,2018
YNT,8433179,2,2018
JHG,4446247,2,2018
XNN,6339622,2,2018
JJN,7443161,2,2018
SWA,6493930,2,2018
LXA,4353948,2,2018
BAV,2032157,2,2018
HLD,2328816,2,2018
CZX,3327722,2,2018
KHG,2060100,2,2018
MIG,3938882,2,2018
DSN,2475281,2,2018
UYN,2090209,2,2018
YNJ,1513262,2,2018
JZH,21538,2,2018
DYG,2209911,2,2018
LUM,1813896,2,2018
WEH,2508155,2,2018
XUZ,2518799,2,2018
DLU,1776364,2,2018
YIH,2948668,2,2018
ZHA,2559507,2,2018
YIW,1635673,2,2018
KRL,1743761,2,2018
NTG,2771326,2,2018
BHY,2282218,2,2018
AKU,1292215,2,2018
LYI,2006104,2,2018
CIF,1572060,2,2018
YIN,1332536,2,2018
KOW,1625224,2,2018
YTY,2384382,2,2018
TGO,983058,2,2018
LZH,1347142,2,2018
YNZ,1822173,2,2018
LZO,0,2,2018
WMT,0,2,2018
YCU,2052654,2,2018
XFN,1406384,2,2018
LYA,1313764,2,2018
HTN,1217504,2,2018
YBP,974810,2,2018
LYG,1516195,2,2018
TCZ,1170230,2,2018
MDG,933716,2,2018
HSN,1209675,2,2018
CIH,690257,2,2018
TXN,761230,2,2018
HYN,1112199,2,2018
NNY,907505,2,2018
BFJ,1216557,2,2018
WXN,870042,2,2018
NAO,942932,2,2018
DQA,831589,2,2018
JGS,658062,2,2018
HIA,1516272,2,2018
DIG,592253,2,2018
NBS,549691,2,2018
WUS,643017,2,2018
JMU,865076,2,2018
JDZ,513632,2,2018
JNG,1221518,2,2018
XIL,622849,2,2018
DAT,1016273,2,2018
WEF,724754,2,2018
HLH,737748,2,2018
FUG,799575,2,2018
NZH,428080,2,2018
XIC,676804,2,2018
LDS,639834,2,2018
ENH,1039311,2,2018
DNH,757672,2,2018
LZY,484506,2,2018
NDG,409783,2,2018
CGD,726357,2,2018
WUA,481269,2,2018
HUZ,1879645,2,2018
DAX,513515,2,2018
JGN,561393,2,2018
TEN,1276640,2,2018
SYM,639929,2,2018
LNJ,440867,2,2018
DOY,691122,2,2018
BSD,0,2,2018
ACX,1120857,2,2018
FUO,109228,2,2018
JUH,450910,2,2018
KCA,321086,2,2018
AAT,397391,2,2018
TVS,574333,2,2018
HDG,763938,2,2018
RLK,352570,2,2018
AQG,477634,2,2018
IQN,419674,2,2018
MXZ,512504,2,2018
DCY,242091,2,2018
BPX,325065,2,2018
DDG,83241,2,2018
GYS,255477,2,2018
ZAT,346579,2,2018
JUZ,251032,2,2018
ENY,0,2,2018
ZQZ,387230,2,2018
YUS,302796,2,2018
JXA,215872,2,2018
HJJ,498341,2,2018
PZI,385358,2,2018
SHP,0,2,2018
JNZ,294297,2,2018
AVA,441391,2,2018
KRY,590497,2,2018
AOG,260922,2,2018
JIQ,409902,2,2018
LLV,367304,2,2018
JGD,156084,2,2018
HZG,494960,2,2018
HEK,180905,2,2018
BPL,168933,2,2018
GOQ,183683,2,2018
ERL,205826,2,2018
CHG,172962,2,2018
HNY,816232,2,2018
TCG,270128,2,2018
KGT,83584,2,2018
WNH,159749,2,2018
LCX,205031,2,2018
JIC,174000,2,2018
YIE,103880,2,2018
LDS,162113,2,2018
ZHY,243519,2,2018
OHE,80735,2,2018
LPF,430977,2,2018
NLT,82057,2,2018
YZY,176848,2,2018
AEB,180801,2,2018
HMI,398645,2,2018
AXF,165858,2,2018
TNH,116391,2,2018
KJI,66731,2,2018
LLF,250102,2,2018
THQ,179691,2,2018
FYJ,58444,2,2018
NGQ,75028,2,2018
GYU,226235,2,2018
HZH,50747,2,2018
LLB,182668,2,2018
GXH,122024,2,2018
WUZ,0,2,2018
RKZ,81349,2,2018
HPG,20321,2,2018
TLQ,193069,2,2018
HCJ,22446,2,2018
JIU,0,2,2018
EJN,21249,2,2018
HXD,107354,2,2018
RHT,12540,2,2018
FYN,27638,2,2018
AHJ,28250,2,2018
NLH,163599,2,2018
KJH,141478,2,2018
RIZ,901253,2,2018
CNI,2720,2,2018
WUT,327784,2,2018
HTT,77077,2,2018
SHP,414224,2,2018
WMT,2033587,2,2018
WMT,1005463,2,2018
LZO,235360,2,2018
ENY,386548,2,2018