id,value,change
PEK,0.157179034,64.33333544
PVG,0.203712297,56.00000181
XIY,0.173468978,55.83333518
CTU,0.159014788,52.333335
CKG,0.152549374,50.50000163
CAN,0.120570605,49.0000016
KMG,0.142827449,46.50000149
SZX,0.123585548,46.33333486
HGH,0.149703088,43.66666812
TSN,0.186736015,41.50000134
HAK,0.148607832,38.16666794
CSX,0.143048883,37.00000123
CGO,0.178769461,34.66666783
KWE,0.216952143,34.16666779
HRB,0.133127582,32.83333438
TAO,0.168619591,32.33333435
SHE,0.194186893,32.33333435
DLC,0.142983824,32.00000102
NKG,0.1956735,31.83333438
XMN,0.09514554,31.66666768
LHW,0.266249384,31.66666768
WUH,0.174844732,30.83333431
NNG,0.241381055,29.00000094
TNA,0.25636612,28.33333428
FOC,0.195849171,27.16666757
NGB,0.275892756,26.50000083
SHA,0.008929995,26.00000087
HET,0.140919899,24.50000076
SJW,0.151316465,24.50000076
URC,0.160732335,24.50000076
SYX,0.108768665,24.33333413
INC,0.18285339,24.0000008
TYN,0.108735181,23.83333409
KHN,0.19564609,23.50000076
WNZ,0.239336698,23.50000076
NAY,0.072541096,23.16666743
KWL,0.132378741,22.00000073
ZUH,0.242500313,21.00000065
HFE,0.162973957,20.33333399
YNT,0.168817102,19.83333395
CGQ,0.103227437,19.16666728
XNN,0.150936383,18.66666725
SWA,0.264104558,17.83333388
LJG,0.152045433,15.66666717
JJN,0.2130594,15.00000051
MIG,0.145845209,14.00000044
WUX,0.177892168,13.50000047
BAV,0.117735523,13.16666707
YIH,0.243253974,13.16666707
ZYI,0.224025274,12.5000004
NTG,0.31536963,12.5000004
HIA,0.463247877,12.33333377
DSN,0.13337996,12.00000036
XUZ,0.262156874,11.3333337
DYG,0.099478432,11.16666707
ZHA,0.242962979,11.16666707
BHY,0.139394994,11.00000036
YNZ,0.205422097,10.66666703
XFN,0.337010882,10.3333337
HLD,0.020572966,10.16666699
LYG,0.192861964,10.16666699
JNG,0.234558829,10.00000029
YTY,0.235493418,10.00000029
HUZ,0.713184491,10.00000029
YCU,0.155006938,9.83333366
LYI,0.077525264,9.166666993
LYA,0.259920649,9.166666993
TEN,0.422152567,9.166666993
CZX,0.110159296,9.00000029
KOW,0.22023811,9.00000029
LXA,-0.003668753,8.666666957
DLU,0.263689429,8.666666957
HNY,0.64722224,8.666666957
BFJ,0.16816189,8.500000254
WXN,0.27167279,8.333333623
WUT,3.088888835,8.00000029
DAT,0.226890776,7.666666884
WEH,0.19774031,7.666666884
KRL,0.429563511,7.333333551
UYN,0.109068641,7.16666692
TXN,0.037480072,7.000000218
YBP,0.105555568,6.666666884
LZO,0.108169948,6.666666884
YIW,0.058241319,6.333333551
NBS,0.060941888,6.333333551
NNY,0.167302115,6.333333551
TVS,0.242424247,6.333333551
NAO,0.243452393,6.333333551
LZH,-0.0132045,6.166666848
JHG,0.219468953,6.166666848
CIH,0.129294462,6.000000218
CGD,0.346801372,6.000000218
HZG,0.735930745,6.000000218
TGO,0.12698414,5.666666884
FUG,0.157287171,5.666666884
ACX,0.256613763,5.666666884
HDG,0.416666684,5.666666884
RIZ,2.214814883,5.666666884
HSN,0.073504279,5.333333478
HJJ,0.191737899,5.333333478
LPF,0.199730104,5.333333478
DOY,0.274470902,5.333333478
YIN,0.74140213,5.333333478
NZH,0.077549541,5.166666848
WUS,0.084110342,5.000000145
JGS,0.134680145,5.000000145
MXZ,0.291666687,5.000000145
ENH,0.565656572,5.000000145
WEF,0.155555563,4.833333515
YIC,0.122222232,4.666666812
KHG,0.222222229,4.666666812
HYN,0.215455845,4.666666812
DAX,0.205555564,4.666666812
MDG,0.263528149,4.666666812
LLV,0.426851863,4.666666812
KRY,0.451851861,4.666666812
XIC,0.735042744,4.500000181
CIF,0.037301595,4.333333478
YNJ,0.079307584,4.333333478
AQG,0.18560607,4.333333478
HMI,0.18981483,4.333333478
HLH,0.189814819,4.333333478
KJH,1.026049978,4.333333478
TLQ,0.914814845,4.333333478
JDZ,0.150000007,4.000000145
AVA,0.166666676,4.000000145
TCZ,0.177777786,4.000000145
BPE,1.543290087,4.000000145
DQA,0.130621708,3.666666812
JIQ,0.163359803,3.666666812
IQN,0.246031769,3.666666812
ENY,0.408333346,3.666666812
LLF,0.569444455,3.666666812
BSD,0.847222241,3.666666812
JMU,0.202380975,3.500000109
JUH,0.1984127,3.333333406
WUA,0.409090895,3.333333406
ZAT,0.2888889,3.333333406
ZQZ,0.495448173,3.333333406
AKU,0.359523816,3.333333406
DNH,-0.110256405,3.000000073
FUO,-0.071732023,3.000000073
LZY,0.228205135,3.000000073
RLK,0.266666671,3.000000073
ERL,1.041666645,3.000000073
AAT,0.944444468,3.000000073
NDG,0.09706961,2.833333442
JGN,0.086970903,2.666666739
DIG,0.053439158,2.666666739
LUM,0.199999999,2.666666739
AXF,0.379629622,2.666666739
JUZ,0.55555558,2.666666739
JNZ,0.436507947,2.666666739
HTN,0.611111142,2.666666739
LLB,-0.027777766,2.333333406
AEB,0.25000002,2.333333406
TCG,1.166666713,2.333333406
YIE,0.061111113,2.000000073
GYS,0.066666673,2.000000073
GXH,0.16666667,2.000000073
LCX,0.169047624,2.000000073
PZI,0.277777797,2.000000073
XIL,0.076785711,1.83333337
ZHY,-0.084126977,1.666666739
HZH,0.154761912,1.666666739
JXA,0.083333345,1.666666739
AOG,0.20580809,1.666666739
JIC,0.222222235,1.666666739
THQ,0.444444458,1.666666739
SYM,0.444444458,1.666666739
CHG,0.152777786,1.500000036
DDG,-0.147863237,1.333333406
DCY,-0.122222203,1.333333406
KGT,-0.066666653,1.333333406
TNH,0.027777792,1.333333406
GYU,0.047619059,1.333333406
LDS,0.111111127,1.333333406
JGD,0.111111135,1.333333406
BPX,0.103174624,1.333333406
AHJ,0.333333382,1.333333406
WNH,0.611111116,1.333333406
KCA,0.777777814,1.333333406
BPL,1.000000024,1.333333406
YZY,-0.103174609,1
OHE,-0.083333335,1
YUS,0,1
HEK,0.166666675,1
RKZ,0.499999997,1
NLT,0.66666663,1
NLH,0.66666663,1
JZH,-0.214393947,0.666666667
GOQ,-0.055555561,0.666666667
NGQ,5.64E-09,0.666666667
FYJ,0.166666656,0.666666667
KJI,0.111111115,0.666666667
LNJ,0.33333331,0.666666667
HXD,0.333333328,0.666666667
FYN,0.166666685,0.500000036
EJN,-0.277777783,0.333333333
RHT,-0.166666664,0.333333333
HCJ,-0.055555555,0.333333333
HPG,-0.166666658,0.333333333
WUZ,-0.6,0
JIU,0,0